Ticker,Nom du fonds,Frais,Distribution,Réplication,ISIN
XDWG.L,Xtrackers MSCI World UCITS ETF 2D - GBP Hedged,"0,17%",Distribution,Échantillonnage optimisé,IE00BZ1BS790
AT1.L,Invesco AT1 Capital Bond UCITS ETF Acc,"0,39%",Capitalisation,Réplication complète,IE00BFZPF322
VAGUL.XC,Vanguard Global Aggregate Bond UCITS ETF USD Hedged Accumulating,"0,08%",Capitalisation,Échantillonnage,IE00BG47KJ78
PAVE.L,Global X U.S. Infrastructure Development UCITS ETF USD Accumulating,"0,47%",Capitalisation,Réplication complète,IE00BLCHJ534
IE00BMZ17W23.SG,iShares MSCI World SRI UCITS ETF EUR Hedged (Dist),"0,23%",Distribution,Réplication complète,IE00BMZ17W23
DGRG.L,WisdomTree US Quality Dividend Growth UCITS ETF USD Acc,"0,33%",Capitalisation,Échantillonnage optimisé,IE00BZ56RG20
IE00BNG8L385.SG,Vanguard ESG Global All Cap UCITS ETF (USD) Distributing,"0,24%",Distribution,Échantillonnage optimisé,IE00BNG8L385
IE00BM8R0J59.SG,Global X Nasdaq 100 Covered Call UCITS ETF D,"0,45%",Distribution,Basée sur swap non financé,IE00BM8R0J59
WOEE.DE,iShares World Equity Enhanced Active UCITS ETF USD (Acc),"0,30%",Capitalisation,Réplication complète,IE000D8XC064
WDESG.SW,UBS MSCI World Selection UCITS ETF USD acc,"0,15%",Capitalisation,Réplication complète,IE000TG1LGI4
XMEX.L,Xtrackers MSCI Mexico UCITS ETF 1C,"0,65%",Capitalisation,Réplication complète,LU0476289466
IE00BJXT3B87.SG,UBS MSCI USA Socially Responsible UCITS ETF USD dis,"0,19%",Distribution,Réplication complète,IE00BJXT3B87
IEFQ.L,iShares Edge MSCI Europe Quality Factor UCITS ETF,"0,25%",Capitalisation,Échantillonnage optimisé,IE00BQN1K562
EEJD.L,iShares MSCI Japan ESG Enhanced CTB UCITS ETF USD (Dist),"0,15%",Distribution,Échantillonnage optimisé,IE00BHZPJ346
LU1407888137.SG,Amundi US Treasury Bond 7-10Y UCITS ETF EUR Hedged Acc,"0,06%",Capitalisation,Réplication complète,LU1407888137
GEU3C.PA,BNP Paribas Easy JPM ESG EMU Government Bond IG 1-3Y UCITS ETF Capitalisation,"0,15%",Capitalisation,Réplication complète,LU2533810862
HYLA.L,iShares Global High Yield Corporate Bond UCITS ETF,"0,50%",Capitalisation,Échantillonnage,IE00BYWZ0440
CW8U.L,Amundi MSCI World UCITS ETF USD (C),"0,38%",Capitalisation,Basée sur swap non financé,LU1681043672
GLDU.AS,Amundi NYSE Arca Gold Bugs UCITS ETF Dist,"0,65%",Distribution,Réplication complète,LU2611731824
CRUD.L,WisdomTree WTI Crude Oil,"0,49%",Capitalisation,Basée sur swap,GB00B15KXV33
CU2.PA,Amundi PEA MSCI USA ESG Leaders UCITS ETF EUR (C),"0,35%",Capitalisation,Réplication complète,LU1681042864
XLPE.L,Xtrackers LPX MM Private Equity Swap UCITS ETF 1C,"0,70%",Capitalisation,Basée sur swap non financé,LU0322250712
UEFZ.DE,UBS SBI® Foreign AAA-BBB 5-10 ESG UCITS ETF CHF dis,"0,20%",Distribution,Échantillonnage,LU0879399441
LU1169821292.SG,UBS MSCI United Kingdom UCITS ETF hEUR acc,"0,23%",Capitalisation,Réplication complète,LU1169821292
EMES.L,iShares J.P. Morgan Advanced USD EM Bond UCITS ETF USD (Dist),"0,45%",Distribution,Échantillonnage,IE00BDDRDW15
PABH.PA,Amundi S&P 500 Climate Paris Aligned UCITS ETF Acc EUR Hedged,"0,25%",Capitalisation,Réplication complète,IE00058B19U6
EHYD.AS,iShares EUR High Yield Corporate Bond ESG SRI UCITS ETF EUR (Dist),"0,25%",Distribution,Échantillonnage,IE00BKLC5874
XDDX.DE,Xtrackers DAX ESG Screened UCITS ETF 1D,"0,09%",Distribution,Réplication complète,LU0838782315
TREX.L,Invesco US Treasury Bond 7-10 Year UCITS ETF Dist,"0,06%",Distribution,Échantillonnage,IE00BF2FN646
VDTE.DE,Vanguard USD Treasury Bond UCITS ETF EUR Hedged Accumulating,"0,10%",Capitalisation,Échantillonnage,IE00BMX0B631
SPYF.DE,SPDR FTSE UK All Share UCITS ETF,"0,20%",Capitalisation,Échantillonnage optimisé,IE00B7452L46
JPN.PA,Amundi Japan TOPIX II UCITS ETF EUR Dist,"0,45%",Distribution,Réplication complète,FR0010245514
XD3E.L,Xtrackers Euro Stoxx Quality Dividend UCITS ETF 1D 1D,"0,30%",Distribution,Réplication complète,LU0292095535
IE00BMDKNW35.SG,VanEck Crypto and Blockchain Innovators UCITS ETF,"0,65%",Capitalisation,Réplication complète,IE00BMDKNW35
XDWU.DE,Xtrackers MSCI World Utilities UCITS ETF 1C,"0,25%",Capitalisation,Réplication complète,IE00BM67HQ30
SUSU.L,iShares USD Corporate Bond 0-3yr ESG SRI UCITS ETF USD (Dist),"0,12%",Distribution,Échantillonnage,IE00BZ048579
ZPRX.DE,SPDR MSCI Europe Small Cap Value Weighted UCITS ETF,"0,30%",Capitalisation,Échantillonnage optimisé,IE00BSPLC298
IE000EFHIFG3.SG,Amundi S&P Global Communication Services ESG UCITS ETF DR EUR (A),"0,18%",Capitalisation,Réplication complète,IE000EFHIFG3
IE000BI0GCN3.SG,iShares Core UK Gilts UCITS ETF EUR Hedged (Dist),"0,09%",Distribution,Échantillonnage,IE000BI0GCN3
FRXD.L,Franklin European Quality Dividend UCITS ETF,"0,25%",Distribution,Réplication complète,IE00BF2B0L69
IE000GUOATN7.SG,iShares iBonds Dec 2025 Term EUR Corporate UCITS ETF EUR (Acc),"0,12%",Capitalisation,Échantillonnage,IE000GUOATN7
XJSE.DE,Xtrackers II Japan Government Bond UCITS ETF 1C,"0,15%",Capitalisation,Échantillonnage,LU0952581584
RISE.L,iShares Fallen Angels High Yield Corporate Bond UCITS ETF,"0,50%",Distribution,Échantillonnage,IE00BYM31M36
SECR.AS,SPDR Bloomberg SASB 0-3 Year Euro Corporate ESG UCITS ETF (Acc),"0,12%",Capitalisation,Échantillonnage,IE00B6YX5H87
DJSC.L,iShares EURO STOXX Small UCITS ETF,"0,40%",Distribution,Échantillonnage optimisé,IE00B02KXM00
XUCD.L,Xtrackers MSCI USA Consumer Discretionary UCITS ETF 1D,"0,12%",Distribution,Réplication complète,IE00BGQYRR35
DBXQ.DE,Xtrackers II Eurozone Government Bond 3-5 UCITS ETF 1C,"0,15%",Capitalisation,Échantillonnage,LU0290356954
UC07.L,UBS MSCI USA Value UCITS ETF USD dis,"0,20%",Distribution,Réplication complète,IE00B78JSG98
2B7C.DE,iShares S&P 500 Industrials Sector UCITS ETF,"0,15%",Capitalisation,Réplication complète,IE00B4LN9N13
LU2641054551.SG,Xtrackers II Germany Government Bond 0-1 UCITS ETF 1C,"0,07%",Capitalisation,Échantillonnage optimisé,LU2641054551
IE00BF2FN869.SG,Invesco US Treasury Bond 7-10 Year UCITS ETF EUR Hedged Dist,"0,10%",Distribution,Échantillonnage,IE00BF2FN869
IE00BF1B7389.SG,SPDR MSCI All Country World UCITS ETF EUR Hedged (Acc),"0,17%",Capitalisation,Échantillonnage optimisé,IE00BF1B7389
ISJP.L,iShares MSCI Japan Small Cap UCITS ETF (Dist),"0,58%",Distribution,Échantillonnage optimisé,IE00B2QWDY88
MVEW.DE,iShares Edge MSCI World Minimum Volatility Advanced UCITS ETF (Acc),"0,30%",Capitalisation,Échantillonnage optimisé,IE00BKVL7778
AIGI.L,WisdomTree Industrial Metals,"0,49%",Capitalisation,Basée sur swap,GB00B15KYG56
XGDG.L,Xtrackers IE Physical Gold GBP Hedged ETC Securities,"0,28%",Capitalisation,Physiquement garanti,DE000A2UDH48
IE00BYTRRB94.SG,SPDR MSCI World Health Care UCITS ETF,"0,30%",Capitalisation,Réplication complète,IE00BYTRRB94
EXH1.DE,iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE),"0,47%",Distribution,Réplication complète,DE000A0H08M3
SLMD.DE,iShares MSCI Europe Screened UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage optimisé,IE00BFNM3F38
IE00077FRP95.SG,Global X SuperDividend® UCITS ETF D,"0,45%",Distribution,Réplication complète,IE00077FRP95
IAPD.L,iShares Asia Pacific Dividend UCITS ETF,"0,59%",Distribution,Réplication complète,IE00B14X4T88
FPXS.L,Fidelity Pacific ex-Japan Equity Research Enhanced UCITS ETF ACC-USD,"0,20%",Capitalisation,Réplication complète,IE00BNGFMY78
VGEK.DE,Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF (USD) Accumulating,"0,15%",Capitalisation,Réplication complète,IE00BK5BQZ41
USSRI.SW,UBS MSCI USA Socially Responsible UCITS ETF USD acc,"0,19%",Capitalisation,Réplication complète,IE00BJXT3C94
CH1199067674.SG,21Shares Bitcoin Core ETP,"0,21%",Capitalisation,Physiquement garanti,CH1199067674
CC4.PA,Amundi Index Euro Corporate SRI UCITS ETF 2 DR EUR (C),"0,14%",Capitalisation,Échantillonnage,LU1681039647
LU2300294316.SG,Amundi Euro Corporate 0-1Y ESG UCITS ETF DR (C),"0,08%",Capitalisation,Échantillonnage,LU2300294316
JE00B1VS2W53.SG,WisdomTree Physical Platinum,"0,49%",Capitalisation,Physiquement garanti,JE00B1VS2W53
LU1974696418.SG,UBS J.P. Morgan USD EM IG Screened Diversified Bond UCITS ETF hEUR acc,"0,43%",Capitalisation,Échantillonnage,LU1974696418
JSEU.L,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF USD (acc),"0,20%",Capitalisation,Échantillonnage optimisé,IE00069JGT58
XLFS.L,Invesco US Financials Sector UCITS ETF,"0,14%",Capitalisation,Basée sur swap non financé,IE00B42Q4896
0TPE.L,iShares USD TIPS UCITS ETF EUR Hedged (Acc),"0,12%",Capitalisation,Échantillonnage,IE00BDZVH966
IE00BK95B138.SG,iShares USD Treasury Bond UCITS ETF USD (Dist),"0,07%",Distribution,Échantillonnage,IE00BK95B138
AFLT.PA,Amundi Floating Rate USD Corporate ESG UCITS ETF USD (C),"0,18%",Capitalisation,Échantillonnage,LU1681040900
ANXU.L,Amundi Nasdaq 100 UCITS ETF USD,"0,23%",Capitalisation,Basée sur swap non financé,LU1681038326
BATT.L,L&G Battery Value-Chain UCITS ETF,"0,49%",Capitalisation,Réplication complète,IE00BF0M2Z96
UEFD.AS,UBS MSCI EMU Small Cap UCITS ETF EUR dis,"0,28%",Distribution,Réplication complète,LU0671493277
IE00085PWS28.SG,Amundi MSCI World Ex USA UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,IE00085PWS28
VGOV.L,Vanguard U.K. Gilt UCITS ETF (GBP) Distributing,"0,05%",Distribution,Échantillonnage,IE00B42WWV65
HSPS.L,HSBC S&P 500 UCITS ETF USD (Acc),"0,09%",Capitalisation,Réplication complète,IE000JZ473P7
MMS.PA,Amundi MSCI EMU Small Cap ESG Broad Transition UCITS ETF,"0,40%",Distribution,Réplication complète,LU1598689153
EQEU.DE,Invesco Nasdaq-100 UCITS ETF EUR Hedged,"0,35%",Capitalisation,Réplication complète,IE00BYVTMS52
IUCB.L,SPDR Bloomberg 1-10 Year US Corporate Bond UCITS ETF,"0,12%",Distribution,Échantillonnage,IE00BYV12Y75
IE00BJ5JNZ06.SG,iShares MSCI World Health Care Sector Advanced UCITS ETF USD (Dist),"0,18%",Distribution,Réplication complète,IE00BJ5JNZ06
IGLA.L,iShares Global Government Bond UCITS ETF (Acc),"0,20%",Capitalisation,Échantillonnage,IE00BYZ28V50
XGLD.L,Xtrackers Physical Gold ETC,"0,25%",Capitalisation,Physiquement garanti,GB00B5840F36
IGIL.SW,iShares Global Inflation Linked Government Bond UCITS ETF USD (Acc),"0,20%",Capitalisation,Échantillonnage,IE00B3B8PX14
30IG.DE,iShares iBonds Dec 2030 Term EUR Corporate UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage,IE000LX17BP9
EXH4.DE,iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE),"0,46%",Distribution,Réplication complète,DE000A0H08J9
R1GR.AS,iShares Russell 1000 Growth UCITS ETF USD (Acc),"0,18%",Capitalisation,Réplication complète,IE000NITTFF2
FSKY.L,First Trust Cloud Computing UCITS ETF Acc,"0,60%",Capitalisation,Réplication complète,IE00BFD2H405
EXH9.DE,iShares STOXX Europe 600 Utilities UCITS ETF (DE),"0,47%",Distribution,Réplication complète,DE000A0Q4R02
ESIC.L,iShares MSCI Europe Consumer Discretionary Sector UCITS ETF EUR (Acc),"0,18%",Capitalisation,Réplication complète,IE00BMW42298
BTCN.AS,iShares Bitcoin ETP,"0,15%",Capitalisation,Physiquement garanti,XS2940466316
EXHD.DE,iShares eb.rexx Government Germany 5.5-10.5yr UCITS ETF (DE),"0,16%",Distribution,Échantillonnage,DE0006289499
WEMT2.PA,BNP Paribas Easy MSCI World Min TE UCITS ETF EUR Acc,"0,16%",Capitalisation,Réplication complète,IE000W8HP9L8
IGCB.L,Invesco GBP Corporate Bond UCITS ETF Dist,"0,10%",Distribution,Échantillonnage,IE00BKW9SW28
LGEG.L,L&G Europe ex UK Equity UCITS ETF,"0,10%",Capitalisation,Réplication complète,IE00BFXR5V83
GOVG.L,Amundi Index J.P. Morgan GBI Global Govies UCITS ETF DR Hedged GBP (D),"0,15%",Distribution,Échantillonnage,LU2355200796
IWDD.AS,iShares Core MSCI World UCITS ETF USD (Dist),"0,20%",Distribution,Échantillonnage optimisé,IE000OHHIBC6
SUOU.AS,iShares USD Corporate Bond ESG SRI UCITS ETF (Dist),"0,15%",Distribution,Échantillonnage,IE00BK4W7N32
IE00BNDS1P30.SG,Vanguard ESG Global Corporate Bond UCITS ETF EUR Hedged Accumulating,"0,15%",Capitalisation,Réplication complète,IE00BNDS1P30
GLUX.PA,Amundi S&P Global Luxury UCITS ETF - EUR (C),"0,25%",Capitalisation,Basée sur swap non financé,LU1681048630
DXS0.DE,Xtrackers SLI UCITS ETF 1D,"0,25%",Distribution,Réplication complète,LU0322248146
CV9.PA,Amundi MSCI Europe Value Factor UCITS ETF EUR,"0,23%",Capitalisation,Basée sur swap non financé,LU1681042518
IE000UL6CLP7.SG,Global X Silver Miners UCITS ETF USD Accumulating,"0,65%",Capitalisation,Réplication complète,IE000UL6CLP7
XBAE.DE,Xtrackers II ESG Global Aggregate Bond UCITS ETF 5C EUR hedged,"0,10%",Capitalisation,Échantillonnage,LU0942970798
OBLI.PA,Amundi PEA Euro Court Terme UCITS ETF Acc,"0,25%",Capitalisation,Basée sur swap non financé,FR0013346681
IE000CXLGK86.SG,Xtrackers S&P 500 Equal Weight UCITS ETF 2D,"0,20%",Distribution,Réplication complète,IE000CXLGK86
IAUS.L,iShares MSCI Australia UCITS ETF,"0,50%",Capitalisation,Réplication complète,IE00B5377D42
LU2780870932.SG,Amundi Global Corporate Bond 1-5Y Highest Rated ESG UCITS ETF USD Hedged Acc,"0,18%",Capitalisation,Échantillonnage,LU2780870932
CJ1P.L,Amundi MSCI Japan ESG Broad Transition UCITS ETF GBP Dist,"0,08%",Distribution,Réplication complète,LU2668197069
FLOT.L,iShares USD Floating Rate Bond UCITS ETF,"0,10%",Distribution,Échantillonnage,IE00BZ048462
SXLI.L,SPDR S&P U.S. Industrials Select Sector UCITS ETF USD,"0,15%",Capitalisation,Réplication complète,IE00BWBXM724
IE000E7EI9P0.SG,Amundi S&P Global Information Technology ESG UCITS ETF DR EUR (A),"0,18%",Capitalisation,Réplication complète,IE000E7EI9P0
RSPS.DE,Invesco S&P 500 Equal Weight Swap UCITS ETF Acc,"0,20%",Capitalisation,Basée sur swap non financé,IE0000TZZ2B2
IESP.IL,iShares Spain Government Bond UCITS ETF EUR (Dist),"0,20%",Distribution,Échantillonnage,IE00B428Z604
DHYD.AS,iShares USD High Yield Corporate Bond ESG SRI UCITS ETF USD (Dist),"0,25%",Distribution,Échantillonnage,IE00BKF09C98
UC48.L,UBS MSCI AC Asia ex Japan SF UCITS ETF USD acc,"0,23%",Capitalisation,Basée sur swap,IE00B7WK2W23
CBEU5.MI,UBS BBG Euro Area Liquid Corp 1-5 UCITS ETF EUR dis,"0,16%",Distribution,Échantillonnage,LU1048314196
WLDC.MI,Amundi MSCI World II UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,FR0014003IY1
CNYB.L,iShares China CNY Bond UCITS ETF USD (Dist),"0,35%",Distribution,Réplication complète,IE00BYPC1H27
600X.AS,SPDR STOXX Europe 600 SRI UCITS ETF,"0,12%",Capitalisation,Échantillonnage optimisé,IE00BK5H8015
XG7S.DE,Xtrackers Global Government Bond UCITS ETF 5C,"0,20%",Capitalisation,Échantillonnage,LU0908508731
HMXS.L,HSBC MSCI Pacific ex Japan UCITS ETF USD (Acc),"0,15%",Capitalisation,Réplication complète,IE000SGVQIZ9
MWSH.MI,Amundi MSCI World SRI Climate Paris Aligned UCITS ETF Acc EUR Hedged,"0,20%",Capitalisation,Réplication complète,IE000K1P4V37
X03B.DE,Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1D,"0,15%",Distribution,Échantillonnage,LU0614173549
TI5A.AS,iShares USD TIPS 0-5 UCITS ETF USD (Acc),"0,10%",Capitalisation,Échantillonnage,IE000JXFRNI0
HMUS.L,HSBC MSCI USA Quality UCITS ETF Dis USD,"0,15%",Distribution,Réplication complète,IE00B5WFQ436
EWLD.PA,Amundi MSCI World UCITS ETF - EUR (D),"0,38%",Distribution,Basée sur swap non financé,LU2655993207
MGT.PA,Amundi DJ Global Titans 50 UCITS ETF Dist,"0,40%",Distribution,Basée sur swap non financé,FR0007075494
IBGZ.L,iShares Euro Government Bond 10-15yr UCITS ETF,"0,15%",Distribution,Échantillonnage,IE00B4WXJH41
AHYE.PA,Amundi Euro High Yield Bond ESG UCITS ETF EUR (C),"0,35%",Capitalisation,Échantillonnage,LU1681040496
AUAD.L,UBS MSCI Australia UCITS ETF AUD dis,"0,40%",Distribution,Réplication complète,IE00BD4TY345
IE000IP0UC52.SG,Amundi MSCI USA ESG Leaders UCITS ETF Acc EUR Hedged,"0,17%",Capitalisation,Réplication complète,IE000IP0UC52
INDGW.MI,Amundi S&P Global Industrials ESG UCITS ETF DR EUR (A),"0,18%",Capitalisation,Réplication complète,IE000LTA2082
LYINR.SW,Amundi MSCI India II UCITS ETF USD Acc,"0,85%",Capitalisation,Basée sur swap non financé,FR0010375766
2B7D.DE,iShares S&P 500 Consumer Staples Sector UCITS ETF,"0,15%",Capitalisation,Réplication complète,IE00B40B8R38
IEVD.DE,iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc),"0,40%",Capitalisation,Échantillonnage optimisé,IE00BGL86Z12
MXFP.L,Invesco MSCI Emerging Markets UCITS ETF,"0,19%",Capitalisation,Basée sur swap non financé,IE00B3DWVS88
LU2572256746.SG,Amundi MSCI China A II UCITS ETF Dist,"0,25%",Distribution,Basée sur swap non financé,LU2572256746
LU1953188833.SG,UBS MSCI China Universal UCITS ETF USD dis,"0,30%",Distribution,Réplication complète,LU1953188833
SLNC.SW,CoinShares Physical Staked Solana,"0,00%",Capitalisation,Physiquement garanti,GB00BNRRFY34
XDEP.DE,Xtrackers iBoxx EUR Corporate Bond Yield Plus UCITS ETF 1D,"0,25%",Distribution,Échantillonnage optimisé,IE00BYPHT736
MOAT.L,VanEck Morningstar US ESG Wide Moat UCITS ETF A,"0,49%",Capitalisation,Réplication complète,IE00BQQP9H09
SMC.PA,SPDR MSCI Europe Small Cap UCITS ETF,"0,30%",Capitalisation,Échantillonnage optimisé,IE00BKWQ0M75
EXX5.DE,iShares Dow Jones US Select Dividend UCITS ETF (DE),"0,31%",Distribution,Réplication complète,DE000A0D8Q49
IE000I1D7D10.SG,iShares iBonds Dec 2027 Term USD Corporate UCITS ETF USD (Acc),"0,12%",Capitalisation,Échantillonnage,IE000I1D7D10
UBUJ.DE,UBS Core MSCI USA UCITS ETF EUR Hedged acc,"0,09%",Capitalisation,Réplication complète,IE00BD4TYG73
LU2082999306.SG,Amundi Smart Overnight Return UCITS ETF Dist,"0,10%",Distribution,Basée sur swap non financé,LU2082999306
HSTE.L,HSBC Hang Seng TECH UCITS ETF HKD,"0,50%",Capitalisation,Réplication complète,IE00BMWXKN31
LU0484968903.SG,Xtrackers II EUR Corporate Bond SRI PAB UCITS ETF 1C,"0,16%",Capitalisation,Échantillonnage optimisé,LU0484968903
JGRO.L,JPMorgan Active US Growth UCITS ETF USD (acc),"0,50%",Capitalisation,Réplication complète,IE0005CH3U28
EMUM.L,iShares MSCI EMU Mid Cap UCITS ETF,"0,49%",Capitalisation,Réplication complète,IE00BCLWRD08
TRES.L,Invesco US Treasury Bond UCITS ETF Dist,"0,06%",Distribution,Échantillonnage,IE00BF2GFH28
SPYX.DE,SPDR MSCI Emerging Markets Small Cap UCITS ETF,"0,55%",Capitalisation,Échantillonnage optimisé,IE00B48X4842
ESPX.AS,iShares S&P 500 Scored and Screened UCITS ETF USD (Acc),"0,07%",Capitalisation,Réplication complète,IE000R9FA4A0
UINC.L,First Trust US Equity Income UCITS ETF Dist,"0,55%",Distribution,Réplication complète,IE00BZBW4Z27
IE00BGJWWY63.SG,Invesco Euro Government Bond 1-3 Year UCITS ETF Dist,"0,10%",Distribution,Échantillonnage,IE00BGJWWY63
WSDG.DE,WisdomTree Global Sustainable Equity UCITS ETF USD Unhedged Acc,"0,29%",Capitalisation,Réplication complète,IE000XNILW20
USSMC.MI,UBS MSCI USA Small Cap Selection UCITS ETF USD acc,"0,20%",Capitalisation,Réplication complète,IE000XFXBGR0
SPOL.L,iShares MSCI Poland UCITS ETF USD (Acc),"0,74%",Capitalisation,Réplication complète,IE00B4M7GH52
GGOV.PA,Amundi Index J.P. Morgan GBI Global Government Bonds UCITS ETF DR (C),"0,20%",Capitalisation,Échantillonnage,LU1437016204
GBEG.L,Invesco Global Corporate Bond ESG Climate Transition UCITS ETF GBP PfHdg Dist,"0,20%",Distribution,Échantillonnage optimisé,IE000P2WSBY0
SXLV.L,SPDR S&P U.S. Health Care Select Sector UCITS ETF USD,"0,15%",Capitalisation,Réplication complète,IE00BWBXM617
AUCO.L,L&G Gold Mining UCITS ETF,"0,55%",Capitalisation,Réplication complète,IE00B3CNHG25
HTWO.MI,L&G Hydrogen Economy UCITS ETF USD Acc,"0,49%",Capitalisation,Réplication complète,IE00BMYDM794
IKSA.L,iShares MSCI Saudi Arabia Capped UCITS ETF USD (Acc),"0,60%",Capitalisation,Échantillonnage optimisé,IE00BYYR0489
XD5S.L,Xtrackers MSCI EMU UCITS ETF 2C GBP hedged,"0,17%",Capitalisation,Réplication complète,LU1127516455
XDPU.MI,Xtrackers S&P 500 UCITS ETF 4C,"0,05%",Capitalisation,Réplication complète,IE000Z9SJA06
MAA.PA,Amundi Euro Highest Rated Macro-Weighted Government Bond UCITS ETF Acc,"0,17%",Capitalisation,Réplication complète,LU1287023342
DPYA.L,iShares Developed Markets Property Yield UCITS ETF USD (Acc),"0,59%",Capitalisation,Échantillonnage optimisé,IE00BFM6T921
ASRF.DE,BNP Paribas Easy EUR High Yield SRI Fossil Free UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,LU2244386053
SDJP.L,iShares MSCI Japan Screened UCITS ETF USD (Dist),"0,15%",Distribution,Échantillonnage optimisé,IE00BFNM3M05
XDGE.DE,Xtrackers USD Corporate Bond UCITS ETF 2D EUR hedged,"0,21%",Distribution,Échantillonnage,IE00BZ036J45
AWSRIW.SW,UBS MSCI ACWI Socially Responsible UCITS ETF hUSD acc,"0,28%",Capitalisation,Réplication complète,IE00BDR55703
ISAG.L,iShares Agribusiness UCITS ETF,"0,55%",Capitalisation,Réplication complète,IE00B6R52143
VDUC.L,Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,"0,09%",Distribution,Échantillonnage,IE00BDD48R20
DJE.MI,Amundi Dow Jones Industrial Average UCITS ETF Dist,"0,50%",Distribution,Basée sur swap non financé,FR0007056841
GB00BRXHQ425.SG,WisdomTree Physical XRP,"0,50%",Capitalisation,Physiquement garanti,GB00BRXHQ425
XAXJ.L,Xtrackers MSCI AC Asia ex Japan ESG Swap UCITS ETF 1C,"0,65%",Capitalisation,Basée sur swap non financé,LU0322252171
XGSI.L,Xtrackers II Global Government Bond UCITS ETF 3C - USD Hedged,"0,15%",Capitalisation,Échantillonnage,LU0641006456
IJPD.L,iShares MSCI Japan USD Hedged UCITS ETF (Acc),"0,64%",Capitalisation,Échantillonnage optimisé,IE00BCLWRG39
AUSSR.PA,BNP Paribas Easy Sustainable US UCITS ETF EUR R Acc,"0,20%",Capitalisation,Réplication complète,IE000LIYGB49
EGEE.DE,iShares Emerging Markets Equity Enhanced Active UCITS ETF USD (Acc),"0,30%",Capitalisation,Réplication complète,IE000OVF8Q66
IE00BMXC7W70.SG,iShares MSCI World Paris-Aligned Climate UCITS ETF USD (Acc),"0,20%",Capitalisation,Réplication complète,IE00BMXC7W70
ICBU.L,iShares USD Intermediate Credit Bond UCITS ETF,"0,15%",Distribution,Échantillonnage,IE00BDQZ5152
XT01.L,Xtrackers US Treasuries Ultrashort Bond UCITS ETF 1C,"0,06%",Capitalisation,Échantillonnage,IE00BM97MR69
CISB.SW,iShares Smart City Infrastructure UCITS ETF USD (Acc),"0,40%",Capitalisation,Échantillonnage optimisé,IE00BKTLJC87
XZWD.DE,Xtrackers MSCI World ESG UCITS ETF 1D,"0,20%",Distribution,Réplication complète,IE000E4BATC9
ZPDK.DE,SPDR S&P U.S. Communication Services Select Sector UCITS ETF USD,"0,15%",Capitalisation,Réplication complète,IE00BFWFPX50
DX2E.DE,Xtrackers S&P Global Infrastructure Swap UCITS ETF 1C,"0,60%",Capitalisation,Basée sur swap non financé,LU0322253229
URNM.L,HANetf Sprott Uranium Miners UCITS ETF Acc,"0,85%",Capitalisation,Réplication complète,IE0005YK6564
N100.L,iShares NASDAQ 100 Swap UCITS ETF USD (Acc),"0,20%",Capitalisation,Basée sur swap non financé,IE0001ZFMLN7
WNRG.L,SPDR MSCI World Energy UCITS ETF,"0,30%",Capitalisation,Réplication complète,IE00BYTRR863
DE000A3G90G9.SG,Bitwise Ethereum Staking ETP,"0,65%",Capitalisation,Physiquement garanti,DE000A3G90G9
BBM3.L,JPMorgan BetaBuilders US Treasury Bond 0-3 Months UCITS ETF USD (Acc),"0,07%",Capitalisation,Échantillonnage optimisé,IE00BMD8KM66
IBE7.PA,iShares iBonds Dec 2027 Term EUR Corporate UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage,IE000H5X52W8
IE000O58J820.SG,Vanguard ESG North America All Cap UCITS ETF (USD) Accumulating,"0,12%",Capitalisation,Échantillonnage optimisé,IE000O58J820
HSXD.L,HSBC ASIA PACIFIC EX JAPAN SCREENED EQUITY UCITS ETF USD,"0,25%",Capitalisation,Réplication complète,IE00BKY58G26
ERO.L,SPDR MSCI Europe UCITS ETF,"0,25%",Capitalisation,Réplication complète,IE00BKWQ0Q14
EMGA.L,iShares J.P. Morgan Emerging Markets Local Government Bond UCITS ETF USD (Acc),"0,50%",Capitalisation,Échantillonnage,IE00BFZPF546
PAASI.PA,Amundi PEA MSCI Emerging Asia ESG Leaders UCITS ETF EUR (C/D),"0,30%",Capitalisation,Basée sur swap non financé,FR0013412012
EXXW.DE,iShares Dow Jones Asia Pacific Select Dividend 50 UCITS ETF (DE),"0,31%",Distribution,Réplication complète,DE000A0H0744
AGHG.L,Amundi Global Aggregate Bond UCITS ETF DR - GBP Hedged (D),"0,08%",Distribution,Échantillonnage,LU2355200523
IDJG.L,iShares Euro Total Market Growth Large UCITS ETF,"0,40%",Distribution,Réplication complète,IE00B0M62V02
ISDE.L,iShares MSCI Emerging Markets Islamic UCITS ETF,"0,35%",Distribution,Réplication complète,IE00B27YCP72
