Ticker,Nom du fonds,Frais,Distribution,Réplication,ISIN,Annualised_Tracking_Difference
C4D.PA,Amundi CAC 40 ESG UCITS ETF DR - EUR (D),"0,25%",Distribution,Réplication complète,LU1681047079,1.579
LGQM.DE,Amundi Pan Africa UCITS ETF Acc,"0,85%",Capitalisation,Basée sur swap non financé,LU1287022708,-2.191
LU1834988609.SG,Amundi STOXX Europe 600 Telecommunications UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU1834988609,-0.015
JPNK.PA,Amundi JPX Nikkei 400 UCITS ETF EUR (C),"0,18%",Capitalisation,Basée sur swap non financé,LU1681038912,-0.492
MTDD.DE,Amundi Euro Government Bond 7-10Y UCITS ETF Dist,"0,15%",Distribution,Réplication complète,LU2090062949,-0.148
TIPA.L,Amundi US TIPS Government Inflation-Linked Bond UCITS ETF Acc,"0,09%",Capitalisation,Réplication complète,LU1452600197,-0.1
JPNY.PA,Amundi JPX Nikkei 400 UCITS ETF JPY,"0,18%",Capitalisation,Basée sur swap non financé,LU1681039050,-0.572
STXH.DE,Amundi Stoxx Europe 600 UCITS ETF - EUR Hedged Dist,"0,15%",Distribution,Réplication complète,LU1574142243,0.302
XMGA.DE,Amundi MSCI USA Ex Mega Cap UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,IE000XL4IXU1,0.206
C1U.PA,Amundi MSCI UK IMI SRI Climate Paris Aligned UCITS ETF - EUR (C),"0,18%",Capitalisation,Réplication complète,LU1437025023,-0.485
C50U.PA,Amundi EURO STOXX 50 UCITS ETF DR USD (C),"0,09%",Capitalisation,Réplication complète,LU1681047400,6.666
10AL.DE,Amundi Euro Government Bond UCITS ETF Dist,"0,09%",Distribution,Échantillonnage,LU1737653714,0.746
GISG.L,Amundi Global Government Inflation-Linked Bond 1-10Y UCITS ETF GBP Hedged Dist,"0,20%",Distribution,Échantillonnage,LU1910940425,-0.236
DFOP.DE,Amundi STOXX Europe 600 Consumer Staples UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,LU2082997359,-0.801
LU2082998167.SG,Amundi STOXX Europe 600 Energy ESG Screened UCITS ETF Dist,"0,30%",Distribution,Réplication complète,LU2082998167,0.074
U71HL.XC,Amundi US Treasury Bond 7-10Y UCITS ETF GBP Hedged Dist,"0,06%",Distribution,Réplication complète,LU1407888483,-0.098
WEBA.DE,Amundi US Tech 100 Equal Weight UCITS ETF DR USD D,"0,07%",Distribution,Réplication complète,IE000Y9MG996,0.172
EGV3.DE,Amundi Euro Government Bond 1-3Y UCITS ETF Dist,"0,15%",Distribution,Réplication complète,LU1650487926,-0.178
PMEH.PA,Amundi PEA Immobilier Europe (FTSE EPRA/NAREIT) UCITS ETF Acc,"0,40%",Capitalisation,Basée sur swap non financé,FR0011869304,-0.083
INDU.DE,Amundi STOXX Europe 600 Industrials UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,LU2082997789,-1.534
MEH.PA,Amundi FTSE EPRA Europe Real Estate UCITS ETF (D),"0,30%",Distribution,Basée sur swap non financé,LU1812091194,0.042
USVE.PA,Amundi PEA MSCI USA Value Advanced UCITS ETF Acc,"0,50%",Capitalisation,Basée sur swap non financé,FR001400KH45,-0.95
ISCH.PA,Amundi Label ISR Credit USD UCITS ETF EUR Hedged Acc,"0,27%",Capitalisation,Réplication complète,FR001400SQV3,-0.251
GHYU.L,Amundi Global High Yield Corporate Bond ESG UCITS ETF USD Acc,"0,25%",Capitalisation,Échantillonnage,LU2099295466,-0.593
PTPXH.PA,Amundi ETF PEA Japan Topix UCITS ETF EUR Hedged,"0,48%",Capitalisation,Basée sur swap non financé,FR0013411998,-2.346
LU2082997946.SG,Amundi STOXX Europe 600 Insurance UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,LU2082997946,0.317
JPXU.L,Amundi MSCI Japan SRI Climate Paris Aligned UCITS ETF DR - USD Hedged (C),"0,20%",Capitalisation,Réplication complète,LU1646359882,-0.428
CWE.PA,Amundi Global Bioenergy UCITS ETF EUR Acc,"0,35%",Capitalisation,Réplication complète,LU1681046006,-0.395
GIST.L,Amundi Global Government Inflation-Linked Bond 1-10Y UCITS ETF Dist,"0,09%",Distribution,Échantillonnage,LU1910939849,-0.066
TPHU.PA,Amundi Japan Topix UCITS ETF Daily Hedged USD,"0,48%",Capitalisation,Basée sur swap non financé,LU1681037948,-3.323
PLEM.PA,Amundi PEA MSCI Emerging EMEA ESG Leaders UCITS ETF Acc,"0,55%",Capitalisation,Basée sur swap non financé,FR0011440478,-1.315
LU2082998837.SG,Amundi STOXX Europe 600 Technology UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,LU2082998837,-0.366
CC1U.L,Amundi MSCI China Tech UCITS ETF USD Acc,"0,55%",Capitalisation,Réplication complète,LU1681044050,-1.174
WLDU.L,Amundi MSCI World II UCITS ETF USD Hedged Dist,"0,30%",Distribution,Basée sur swap non financé,FR0011669845,-0.395
AK8E.DE,Amundi Fixed Maturity 2028 Euro Government Bond Broad UCITS ETF Dist,"0,09%",Distribution,Réplication complète,LU2780871401,-0.069
IE000MJIXFE0.SG,Amundi MSCI North America ESG Broad Transition UCITS ETF Dist,"0,15%",Distribution,Réplication complète,IE000MJIXFE0,-0.25
CP9U.L,Amundi MSCI Pacific Ex Japan SRI Climate Paris Aligned UCITS ETF DR - USD (C),"0,20%",Capitalisation,Réplication complète,LU1602145036,-0.226
MFDD.MI,Amundi MSCI EMU ESG Broad Transition UCITS ETF Dist,"0,12%",Distribution,Réplication complète,LU0908501132,1.65
8OUU.DE,Amundi Global Aggregate SRI UCITS ETF DR (C),"0,14%",Capitalisation,Échantillonnage,LU2439734141,-0.182
LU2678230652.SG,Amundi MSCI Europe ESG Broad Transition UCITS ETF - EUR (D),"0,12%",Distribution,Réplication complète,LU2678230652,0.329
LU1650489898.SG,Amundi Euro Government Bond 10-15Y UCITS ETF Dist,"0,15%",Distribution,Réplication complète,LU1650489898,-0.139
E15H.DE,Amundi Euro Government Inflation-Linked Bond UCITS ETF Dist,"0,09%",Distribution,Réplication complète,LU1650491795,-0.09
PALAT.PA,Amundi PEA MSCI Emerging Latin America Selection UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,FR0013412004,-0.641
EUDIV.PA,Amundi S&P Eurozone Dividend Aristocrat Screened UCITS ETF Dist,"0,30%",Distribution,Réplication complète,LU0959210278,-0.201
AHYH.DE,Amundi Global Aggregate SRI 1-5 UCITS ETF DR Hedged EUR (C),"0,16%",Capitalisation,Échantillonnage,LU2470620845,-0.23
AK8A.DE,Amundi Global Aggregate SRI 1-5 UCITS ETF DR Hedged CHF (C),"0,16%",Capitalisation,Échantillonnage,LU2606055775,-0.265
LU1650488817.SG,Amundi Euro Government Bond 3-5Y UCITS ETF Dist,"0,15%",Distribution,Réplication complète,LU1650488817,-0.167
AMEG.L,Amundi MSCI Emerging Markets SRI Climate Paris Aligned UCITS ETF DR - GBP (D),"0,16%",Distribution,Réplication complète,LU2469335371,-0.226
IE000ANYHV73.SG,Amundi S&P Global Communication Services ESG UCITS ETF DR EUR (D),"0,18%",Distribution,Réplication complète,IE000ANYHV73,-0.114
PLAN.PA,Amundi Corporate Proceeds Bond UCITS ETF Acc,"0,20%",Capitalisation,Échantillonnage,LU2370241684,-0.257
LU2182388665.SG,Amundi US Treasury Bond 0-1Y UCITS ETF Acc,"0,05%",Capitalisation,Échantillonnage,LU2182388665,-0.058
E6BR.DE,Amundi STOXX Europe 600 Basic Resources UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,LU2082996385,-0.325
PRIT.L,Amundi Prime US Treasury UCITS ETF DR (D),"0,05%",Distribution,Réplication complète,LU1931975319,0.003
LU2082999215.SG,Amundi STOXX Europe 600 Utilities UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,LU2082999215,0.225
USIC.MI,Amundi USD Corporate Bond Climate Paris Aligned UCITS ETF Acc,"0,14%",Capitalisation,Échantillonnage,LU1285959885,-0.203
U37H.L,Amundi US Treasury Bond 3-7Y UCITS ETF GBP Hedged Dist,"0,06%",Distribution,Réplication complète,LU1407889457,-0.064
PRAS.DE,Amundi Prime US Treasury UCITS ETF DR (C),"0,05%",Capitalisation,Réplication complète,LU2089239193,0.012
IE0005NYD352.SG,Amundi S&P Global Consumer Staples ESG UCITS ETF EUR (D),"0,18%",Distribution,Réplication complète,IE0005NYD352,0.038
XCO2.DE,Amundi Global Aggregate Proceeds Bond 1-10Y UCITS ETF Acc,"0,15%",Capitalisation,Échantillonnage,LU1981859819,-0.165
CUIK.DE,Amundi MSCI UK IMI SRI Climate Paris Aligned UCITS ETF - EUR (D),"0,18%",Distribution,Réplication complète,LU2368674631,-0.49
6TVL.DE,Amundi STOXX Europe 600 Consumer Discretionary UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,LU2082999132,-0.498
JPXX.L,Amundi MSCI Japan SRI Climate Paris Aligned UCITS ETF DR - GBP Hedged (C),"0,20%",Capitalisation,Réplication complète,LU1646359619,-0.779
USHYC.MI,Amundi USD High Yield Corporate Bond ESG UCITS ETF Acc,"0,25%",Capitalisation,Échantillonnage,LU1435356065,-0.371
USBG.DE,Amundi Global Corporate Bond UCITS ETF USD Hedged Dist,"0,17%",Distribution,Échantillonnage,LU2996613266,0.022
LU2090063160.SG,Amundi MSCI Eastern Europe Ex Russia UCITS ETF Dist,"0,50%",Distribution,Basée sur swap non financé,LU2090063160,-0.904
CHM.PA,Amundi STOXX Europe 600 Basic Materials UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU1834983634,-0.979
AK8F.DE,Amundi Fixed Maturity 2028 Euro Government Bond Yield + UCITS ETF Dist,"0,09%",Distribution,Réplication complète,LU2780871666,-0.064
MTHG.L,Amundi Euro Government Bond 25+Y UCITS ETF GBP Hedged Dist,"0,09%",Distribution,Réplication complète,LU2891728078,-0.001
IE00026BEVM6.SG,Amundi S&P Global Industrials ESG UCITS ETF EUR (D),"0,18%",Distribution,Réplication complète,IE00026BEVM6,-0.455
LYX4.DE,Amundi STOXX Europe 600 Basic Materials UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,LU2082996542,-0.979
CF1.PA,Amundi CAC Transition Climat UCITS ETF,"0,25%",Capitalisation,Réplication complète,FR0010655704,0.642
EGV7.DE,Amundi Euro Government Bond 5-7Y UCITS ETF Dist,"0,15%",Distribution,Réplication complète,LU2090062865,-0.16
IE00052T92P8.SG,Amundi S&P Global Utilities ESG UCITS ETF DR EUR (D),"0,18%",Distribution,Réplication complète,IE00052T92P8,0.602
DFOB.DE,Amundi Euro Government Bond 25+Y UCITS ETF Dist,"0,07%",Distribution,Réplication complète,LU1686832277,-0.053
EDIV.PA,Amundi S&P Eurozone Dividend Aristocrat Screened UCITS ETF Acc,"0,30%",Capitalisation,Réplication complète,LU0959210781,0.387
NRJC.L,Amundi MSCI New Energy UCITS ETF Acc,"0,60%",Capitalisation,Réplication complète,FR0014002CG3,-0.305
BYBU.PA,Amundi ETF S&P 500 Buyback UCITS ETF USD,"0,15%",Capitalisation,Basée sur swap non financé,LU1681048556,-0.858
GOVD.L,Amundi Global Government Bond II UCITS ETF Dist,"0,09%",Distribution,Échantillonnage,LU2099288503,-0.061
LU2089238971.SG,Amundi Prime Global Government Bond UCITS ETF Acc,"0,05%",Capitalisation,Échantillonnage,LU2089238971,-0.02
IE00061J0RC6.SG,Amundi S&P Global Consumer Discretionary ESG UCITS ETF DR EUR (D),"0,18%",Distribution,Réplication complète,IE00061J0RC6,-0.035
AK8C.DE,Amundi US Aggregate SRI UCITS ETF Dist,"0,16%",Distribution,Réplication complète,LU2611732806,-0.113
JPNE.DE,Amundi MSCI Japan SRI Climate Paris Aligned UCITS ETF DR - EUR Hedged (D),"0,20%",Distribution,Réplication complète,LU1646360542,-2.083
IE0009SJ3GE3.SG,Amundi S&P Global Energy Carbon Reduced UCITS ETF DR EUR (D),"0,18%",Distribution,Réplication complète,IE0009SJ3GE3,0.37
AHYC.DE,Amundi Index Euro Corporate SRI UCITS ETF DR Hedged USD (C),"0,18%",Capitalisation,Échantillonnage,LU2469335884,-0.348
IE000WP7CVZ7.SG,Amundi S&P Global Materials ESG UCITS ETF DR EUR (D),"0,18%",Distribution,Réplication complète,IE000WP7CVZ7,0.072
MEGA.DE,Amundi MSCI USA Mega Cap UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,IE000YBGJ9I4,-0.076
AK8G.DE,Amundi Fixed Maturity 2027 German Bund Government Bond UCITS ETF Dist,"0,09%",Distribution,Réplication complète,LU2780871823,-0.073
LC39.DE,Amundi Lifecycle 2039 UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,LU2872292243,-0.167
PRUB.L,Amundi USD Corporate Bond UCITS ETF GBP Hedged Dist,"0,09%",Distribution,Échantillonnage,LU2621112452,0.346
10AM.DE,Amundi Global Aggregate Bond UCITS ETF DR (D),"0,10%",Distribution,Échantillonnage,LU1737654019,-0.113
JPHC.PA,Amundi ETF JPX Nikkei 400 UCITS ETF Daily Hedged CHF,"0,18%",Capitalisation,Basée sur swap non financé,LU1681047665,-0.939
BT27.MI,Amundi Fixed Maturity 2027 Italy BTP Government Bond UCITS ETF Dist,"0,09%",Distribution,Réplication complète,LU2780872128,-0.05
LC36.PA,Amundi Lifecycle 2036 UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,LU2872292169,-0.27
LC30.DE,Amundi Lifecycle 2030 UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,LU2872291948,-0.139
ISRD.PA,Amundi Label ISR Credit USD UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,FR001400SDQ1,-0.336
TPHC.PA,Amundi Japan Topix UCITS ETF Daily Hedged CHF,"0,48%",Capitalisation,Basée sur swap non financé,LU1681038169,-2.533
MLUX.PA,Amundi PEA Luxe Monde UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,FR001400S9V0,-0.514
LC33.DE,Amundi Lifecycle 2033 UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,LU2872292086,-0.093
TPHG.L,Amundi Japan Topix UCITS ETF Daily Hedged GBP,"0,48%",Capitalisation,Basée sur swap non financé,LU1681038086,-2.854
CSP5.DE,Amundi Core S&P 500 UCITS ETF Acc,"0,05%",Capitalisation,Réplication complète,IE000UBAW7M3,0.311
JPHG.L,Amundi JPX Nikkei 400 UCITS ETF Daily Hedged GBP,"0,18%",Capitalisation,Basée sur swap non financé,LU1681039308,-0.984
500D.L,Amundi S&P 500 UCITS ETF USD (D),"0,15%",Distribution,Basée sur swap non financé,LU2391437253,-0.537
LWGB.DE,Amundi Euro Government Low Duration Tilted Green Bond UCITS ETF Acc,"0,14%",Capitalisation,Échantillonnage,LU2924150282,-0.109
U13E.L,Amundi US Treasury Bond 1-3Y UCITS ETF GBP Hedged Dist,"0,05%",Distribution,Réplication complète,LU1407887675,-0.06
MPXG.L,Amundi MSCI Pacific Ex Japan SRI Climate Paris Aligned UCITS ETF DR - GBP (D),"0,15%",Distribution,Réplication complète,LU2469335298,0.073
8R80.DE,Amundi MSCI Japan SRI Climate Paris Aligned UCITS ETF DR - CHF Hedged (C),"0,20%",Capitalisation,Réplication complète,LU1646360039,-0.383
EPAZ.DE,Amundi S&P Eurozone Climate Paris Aligned UCITS ETF Dist,"0,20%",Distribution,Réplication complète,LU2932780914,0.364
LU2090062782.SG,Amundi Euro Government Bond 15+Y UCITS ETF Dist,"0,15%",Distribution,Réplication complète,LU2090062782,-0.099
CWEUSD.SW,Amundi Global Bioenergy UCITS ETF USD Acc,"0,35%",Capitalisation,Réplication complète,LU1681046188,-0.384
AHYG.DE,Amundi Global Aggregate SRI 1-5 UCITS ETF DR USD (C),"0,14%",Capitalisation,Échantillonnage,LU2470620761,-0.242
ISRJ.PA,Amundi Label ISR Actions Japon UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,FR001400SDJ6,-1.495
LU2439119236.SG,Amundi MSCI AC Far East ex Japan ESG Leaders Select UCITS ETF DR (C),"0,25%",Capitalisation,Réplication complète,LU2439119236,-0.179
LU2490201840.SG,Amundi MSCI Japan ESG Broad Transition UCITS ETF - Hedged EUR (C),"0,20%",Capitalisation,Réplication complète,LU2490201840,-1.615
INGE.DE,Amundi JP Morgan INR India Government Bond UCITS ETF Acc,"0,30%",Capitalisation,Échantillonnage,IE0004W4ZVJ5,-1.166
100H.L,Amundi FTSE 100 UCITS ETF USD Hedged Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU1650492504,-1.041
JARG.L,Amundi MSCI Japan SRI Climate Paris Aligned UCITS ETF DR - GBP (D),"0,12%",Distribution,Réplication complète,LU2469335025,-0.047
ISJH.PA,Amundi Label ISR Actions Japon UCITS ETF EUR Hedged Acc,"0,22%",Capitalisation,Réplication complète,FR001400SDK4,-1.701
LU2082999058.SG,Amundi STOXX Europe 600 Telecommunications UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,LU2082999058,0.036
IE000ENYES77.SG,Amundi S&P Global Financials ESG UCITS ETF DR EUR (D),"0,18%",Distribution,Réplication complète,IE000ENYES77,0.261
MTHU.L,Amundi Euro Government Bond 25+Y UCITS ETF USD Hedged Acc,"0,09%",Capitalisation,Réplication complète,LU2891727930,0.031
LU2439735890.SG,Amundi China CNY Bonds UCITS ETF DR (C),"0,20%",Capitalisation,Échantillonnage,LU2439735890,-0.635
XCOU.L,Amundi Global Aggregate Proceeds Bond 1-10Y UCITS ETF USD Hedged Acc,"0,15%",Capitalisation,Échantillonnage,LU1981860239,-0.37
EAHG.L,Amundi Index Euro Aggregate SRI UCITS ETF DR Hedged GBP (C),"0,18%",Capitalisation,Échantillonnage,LU2368674045,-0.3
XCOG.L,Amundi Global Aggregate Proceeds Bond 1-10Y UCITS ETF GBP Hedged Dist,"0,15%",Distribution,Échantillonnage,LU1981860585,-0.338
AFRHU.PA,Amundi Floating Rate Euro Corporate ESG UCITS ETF USD Hedged (C),"0,20%",Capitalisation,Échantillonnage,LU1923163759,-0.298
AFRHG.PA,Amundi Floating Rate Euro Corporate ESG UCITS ETF GBP Hedged (C),"0,20%",Capitalisation,Échantillonnage,LU1923163676,-0.237
AHYA.DE,Amundi Index J.P. Morgan GBI Global Govies UCITS ETF DR Hedged USD (C),"0,22%",Capitalisation,Échantillonnage,LU2469335538,-0.205
AHYB.DE,Amundi Global Aggregate SRI UCITS ETF DR Hedged USD (C),"0,16%",Capitalisation,Échantillonnage,LU2469335611,-0.339
MWOU.DE,Amundi MSCI USA ESG Leaders Extra UCITS ETF Acc EUR Hedged,"0,17%",Capitalisation,Réplication complète,IE0004TFW0R5,0.387
CBDE.DE,Amundi USD Corporate Bond UCITS ETF EUR Hedged Acc,"0,09%",Capitalisation,Échantillonnage,LU2977997381,-0.392
AMEV.DE,Amundi MSCI Japan UCITS ETF USD Hedged Acc,"0,14%",Capitalisation,Réplication complète,LU2914157412,-0.25
ISRG.PA,Amundi Label ISR Actions Marchés Emergents UCITS ETF Acc,"0,35%",Capitalisation,Réplication complète,FR001400SDL2,3.689
WEBI.DE,Amundi MSCI USA UCITS ETF Dist,"0,03%",Distribution,Réplication complète,IE000IEGVMH6,0.133
WMMS.DE,Amundi MSCI World IMI Value Advanced UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,IE000AZV0AS3,0.101
WMMV.DE,Amundi MSCI World Minimum Volatility Advanced UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,IE0001DKJVC2,-0.203
WMSE.DE,Amundi MSCI World Momentum Advanced UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,IE0001FQFU60,-0.187
WMFS.DE,Amundi MSCI World Small Cap ESG Broad Transition UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,IE000UZZ5D45,-0.067
ESE.PA,BNP Paribas Easy S&P 500 UCITS ETF EUR,"0,13%",Capitalisation,Basée sur swap non financé,FR0011550185,0.2118
0XC5.IL,BNP Paribas Easy S&P 500 UCITS ETF USD,"0,13%",Capitalisation,Basée sur swap non financé,FR0011550177,0.2076
EEUE.PA,BNP Paribas Easy MSCI Europe Min TE UCITS ETF,"0,15%",Capitalisation,Réplication complète,LU1291099718,-0.0264
JBEM.PA,BNP Paribas Easy JPM ESG EMU Government Bond IG UCITS ETF,"0,15%",Capitalisation,Réplication complète,LU1481202692,-0.1596
SRIC3.PA,BNP Paribas Easy EUR Corporate Bond SRI PAB 1-3Y UCITS ETF,"0,15%",Distribution,Réplication complète,LU2008760592,-0.2622
GEMU.PA,BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5Y UCITS ETF (Acc),"0,15%",Capitalisation,Réplication complète,LU2244387457,-0.1355
0E4H.IL,BNP Paribas Easy MSCI Japan Min TE UCITS ETF,"0,16%",Capitalisation,Réplication complète,LU1291102447,-0.439
SRIC5.PA,BNP Paribas Easy EUR Corporate Bond SRI PAB 3-5Y UCITS ETF,"0,15%",Distribution,Réplication complète,LU2008761053,-0.2521
SRIC.PA,BNP Paribas Easy EUR Corporate Bond SRI PAB UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,LU1859444769,-0.2657
ENAM.MI,BNP Paribas Easy MSCI USA Min TE UCITS ETF,"0,16%",Capitalisation,Réplication complète,LU1291104575,-0.42
ESEH.PA,BNP Paribas Easy S&P 500 UCITS ETF EUR Hedged,"0,13%",Capitalisation,Basée sur swap non financé,FR0013041530,0.2513
ETSZ.DE,BNP Paribas Easy STOXX Europe 600 UCITS ETF,"0,18%",Capitalisation,Basée sur swap non financé,FR0011550193,0.0082
EMWE.DE,BNP Paribas Easy MSCI World SRI S-Series PAB 5% Capped UCITS ETF EUR Acc,"0,26%",Capitalisation,Réplication complète,LU1615092217,-0.1741
EEMU.PA,BNP Paribas Easy MSCI EMU Min TE UCITS ETF,"0,15%",Capitalisation,Réplication complète,LU1291098827,0.2551
EEMK.PA,BNP Paribas Easy MSCI Emerging Min TE UCITS ETF,"0,27%",Capitalisation,Réplication complète,LU1291097779,-0.9061
ECN.PA,BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF,"0,30%",Capitalisation,Réplication complète,LU1377382368,-0.2015
SPEEU.PA,BNP Paribas Easy S&P 500 Scored and Screened UCITS ETF EUR Acc,"0,13%",Capitalisation,Réplication complète,IE0004J37T45,0.0731
EMEC.DE,BNP Paribas Easy ECPI Circular Economy Leaders UCITS ETF EUR,"0,30%",Capitalisation,Réplication complète,LU1953136527,-0.1574
GEU3C.PA,BNP Paribas Easy JPM ESG EMU Government Bond IG 1-3Y UCITS ETF Capitalisation,"0,15%",Capitalisation,Réplication complète,LU2533810862,-0.1512
WEMT2.PA,BNP Paribas Easy MSCI World Min TE UCITS ETF EUR Acc,"0,16%",Capitalisation,Réplication complète,IE000W8HP9L8,-0.0471
ASRF.DE,BNP Paribas Easy EUR High Yield SRI Fossil Free UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,LU2244386053,-0.4167
AJASR.PA,BNP Paribas Easy Sustainable Japan UCITS ETF EUR R Acc,"0,20%",Capitalisation,Réplication complète,IE0000SS94R1,0.114
ENG.PA,BNP Paribas Easy ECPI Global ESG Infrastructure UCITS ETF EUR Capitalisation,"0,31%",Capitalisation,Réplication complète,IE000FF2EBQ8,-0.4755
ESDD.PA,BNP Paribas Easy S&P 500 UCITS ETF,"0,13%",Distribution,Basée sur swap non financé,FR0011550680,0.3935
ASRT.DE,BNP Paribas Easy EUR Corporate Bond SRI PAB UCITS ETF Dist,"0,15%",Distribution,Réplication complète,LU1953136287,-0.1946
E40.PA,BNP Paribas Easy CAC 40 ESG UCITS ETF,"0,25%",Distribution,Réplication complète,FR0010150458,-0.2831
EMBH.PA,BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF EUR Hedged,"0,26%",Capitalisation,Réplication complète,LU1547515137,0.1839
ETZD.PA,BNP Paribas Easy STOXX Europe 600 UCITS ETF,"0,18%",Distribution,Basée sur swap non financé,FR0011550672,0.1093
EMBI.PA,BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF,"0,26%",Capitalisation,Réplication complète,LU1547515053,0.1942
ETBB.PA,BNP Paribas Easy EURO STOXX 50 UCITS ETF,"0,10%",Distribution,Réplication complète,FR0012740983,0.5148
BSRIC.PA,BNP Paribas Easy EUR Aggregate Bond SRI Fossil Free UCITS ETF Capitalisation,"0,15%",Capitalisation,Réplication complète,LU2533812991,-0.1309
SRIUC.PA,BNP Paribas Easy EUR Corporate Bond SRI Fossil Free Ultrashort Duration UCITS ETF Acc,"0,10%",Capitalisation,Réplication complète,LU2533812058,-0.1317
SPEUS.PA,BNP Paribas Easy S&P 500 Scored and Screened UCITS ETF Acc,"0,13%",Capitalisation,Réplication complète,IE0000VX9GN7,0.0721
EPEJ.PA,BNP Paribas Easy MSCI Pacific ex Japan Min TE UCITS ETF,"0,15%",Capitalisation,Réplication complète,LU1291106356,-0.2406
IM2A.DE,BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped UCITS ETF QD,"0,40%",Distribution,Réplication complète,LU0192223062,1.3307
ZSRI.DE,BNP Paribas Easy MSCI Europe SRI S-Series PAB 5% Capped UCITS ETF EUR Dis,"0,25%",Distribution,Réplication complète,LU1753045415,0.0686
SEUGB.MI,BNP Paribas Easy Sustainable EUR Government Bond UCITS ETF Capitalisation,"0,12%",Capitalisation,Réplication complète,LU2697597552,-0.141
EKUS.PA,BNP Paribas Easy MSCI USA SRI S-Series PAB 5% Capped UCITS ETF EUR Dis,"0,25%",Distribution,Réplication complète,LU1659681669,-0.2524
MUSRI.PA,BNP Paribas Easy MSCI EMU SRI S-Series PAB 5% Capped UCITS ETF,"0,25%",Capitalisation,Réplication complète,LU1953137681,0.1825
GSSBD.PA,BNP Paribas Easy JPM ESG Green Social & Sustainability IG EUR Bond UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,LU2365458814,-0.2834
LU1659681230.SG,BNP Paribas Easy MSCI Emerging SRI PAB UCITS ETF EUR Acc,"0,31%",Capitalisation,Basée sur swap,LU1659681230,-0.5839
BLUE.PA,BNP Paribas Easy ECPI Global ESG Blue Economy UCITS ETF EUR,"0,31%",Capitalisation,Réplication complète,LU2194447293,-0.097
LU2314312849.SG,BNP Paribas Easy MSCI China Min TE UCITS ETF EUR Acc,"0,27%",Capitalisation,Réplication complète,LU2314312849,-0.3725
WEMTE.PA,BNP Paribas Easy MSCI World Min TE UCITS ETF USD Acc,"0,16%",Capitalisation,Réplication complète,IE0008FB2WZ1,-0.0647
SEUCB.MI,BNP Paribas Easy Sustainable EUR Corporate Bond UCITS ETF Capitalisation,"0,18%",Capitalisation,Réplication complète,LU2697596745,-0.3066
EMWD.PA,BNP Paribas Easy MSCI World SRI S-Series PAB 5% Capped UCITS ETF EUR Dist,"0,26%",Distribution,Réplication complète,LU2641925016,-0.212
GSCU.PA,BNP Paribas Easy Energy & Metals Enhanced Roll UCITS ETF USD,"0,39%",Capitalisation,Basée sur swap non financé,LU1291109533,-0.6819
LU1659681586.SG,BNP Paribas Easy MSCI USA SRI S-Series PAB 5% Capped UCITS ETF EUR Acc,"0,25%",Capitalisation,Réplication complète,LU1659681586,-0.2007
GREAL.PA,BNP Paribas Easy FTSE EPRA Nareit Developed Europe Green CTB UCITS ETF Acc,"0,41%",Capitalisation,Réplication complète,LU2008763935,0.1261
BJLJ.DE,BNP Paribas Easy USD Corporate Bond SRI Fossil Free UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,LU2616774076,-0.1081
EQUA.PA,BNP Paribas Easy ESG Quality Europe UCITS ETF,"0,31%",Capitalisation,Basée sur swap non financé,LU1377382103,-0.331
